slug,ticker,platform,strategy,scrape_url
lam-research,LRCX,investorroom,investorroom,https://newsroom.lamresearch.com/press-releases
las-vegas-sands,LVS,q4,q4_ir,https://investor.sands.com/news/default.aspx
leidos,LDOS,notified,notified,https://investors.leidos.com/news-releases
lennox,LII,notified,notified,https://investor.lennox.com/news-releases
linde,LIN,unknown,unknown,https://www.linde.com/investors
lockheed-martin,LMT,investorroom,investorroom,https://news.lockheedmartin.com/news-releases?category=788
lowes,LOW,unknown,unknown,https://corporate.lowes.com/investors
lumentum,LITE,q4,q4_ir,https://investor.lumentum.com/news/default.aspx
lyondell-basell,LYB,q4,q4_ir,https://investors.lyondellbasell.com/news/default.aspx
maac,MAA,unknown,unknown,https://ir.maac.com/
marathon-petroleum,MPC,unknown,unknown,https://ir.marathonpetroleum.com/investor/news-releases/default.aspx
marriott-international,MAR,notified,notified,https://marriott.gcs-web.com/press-releases
martin-marietta,MLM,unknown,unknown,https://www.martinmarietta.com/investor-relations
marvell,MRVL,notified,notified,https://investor.marvell.com/news-releases
masco,MAS,unknown,unknown,https://investor.masco.com/
mccormick,MKC,notified,notified,https://ir.mccormick.com/news-releases
mcdonalds,MCD,aem,aem,https://corporate.mcdonalds.com/corpmcd/investors.html
mckesson,MCK,q4,q4_ir,https://investor.mckesson.com/news/default.aspx
medtronic,MDT,investorroom,investorroom,https://investorrelations.medtronic.com/news-releases
merck,MRK,unknown,unknown,https://www.merck.com/investor-relations/
meta,META,q4,q4_ir,https://investor.atmeta.com/home/default.aspx/news/default.aspx
micron,MU,q4,q4_ir,https://investors.micron.com/news/default.aspx
microsoft,MSFT,unknown,unknown,https://news.microsoft.com/source/tag/investor-relations/
moderna,MRNA,unknown,unknown,https://investors.modernatx.com/
molson-coors,TAP,q4,q4_ir,https://ir.molsoncoors.com/news/default.aspx
mondelez-international,MDLZ,notified,notified,https://ir.mondelezinternational.com/news-releases
monolithic-power,MPWR,unknown,unknown,https://www.monolithicpower.com/en/about-mps/investor-relations.html
morgan-stanley,MS,aem,aem,https://www.morganstanley.com/about-us-ir
motorola-solutions,MSI,aem,aem,https://www.motorolasolutions.com/investors.html
msci,MSCI,notified,notified,https://ir.msci.com/news-releases
netapp,NTAP,q4,q4_ir,https://investors.netapp.com/news/default.aspx
netflix,NFLX,q4,q4_ir,https://ir.netflix.net/investor-news-and-events/financial-releases/default.aspx
newmont,NEM,unknown,unknown,https://www.newmont.com/investors/
news-corp,NWSA,notified,notified,https://investors.newscorp.com/news-releases
nike,NKE,unknown,unknown,https://investors.nike.com/
northern-trust,NTRS,aem,aem,https://www.northerntrust.com/united-states/about-us/investor-relations
norwegian-cruise-line,NCLH,notified,notified,https://www.nclhltd.com/investors/news-releases
nrg,NRG,notified,notified,https://investors.nrg.com/news-releases
nvidia,NVDA,aem,aem,https://investor.nvidia.com/news/press-releases/default.aspx
o-reilly-auto-parts,ORLY,unknown,unknown,https://corporate.oreillyauto.com/investor-relations-information/
occidental-petroleum,OXY,unknown,unknown,https://www.oxy.com/investors/
omnicom,OMC,q4,q4_ir,https://investor.omc.com/news/default.aspx
onsemi,ON,notified,notified,https://investor.onsemi.com/news-releases
